VDLF_LR,VDLF_WEIGHT_DECAY,VDLF_ALPHA,VDLF_LATENT_DIM,KL_DECAY,Accuracy,Precision,Recall,F1,TrainTime_sec
0.001,0.0001,0.01,128,0,56.5700,57.3858,56.5700,56.6646,1212.79
0.001,0.0001,0.01,128,10,56.1600,57.1734,56.1600,56.3138,1223.33
0.001,0.0001,0.01,128,20,57.0400,57.6913,57.0400,57.1059,1209.54
0.001,0.0001,0.01,256,0,56.9100,57.9269,56.9100,57.1237,1192.20
0.001,0.0001,0.01,256,10,55.9000,56.5258,55.9000,55.8680,1249.36
0.001,0.0001,0.01,256,20,56.3300,57.9577,56.3300,56.7310,1227.75
0.001,0.0001,0.02,128,0,57.0300,57.4496,57.0300,56.9488,1217.77
0.001,0.0001,0.02,128,10,56.8900,57.6999,56.8900,57.0257,1197.57
0.001,0.0001,0.02,128,20,57.2600,58.1310,57.2600,57.3941,1193.43
0.001,0.0001,0.02,256,0,57.3300,57.8763,57.3300,57.2726,1271.71
0.001,0.0001,0.02,256,10,56.3700,57.8285,56.3700,56.7122,1468.98
0.001,0.0001,0.02,256,20,57.4900,57.8927,57.4900,57.4686,1434.49
0.001,0.0001,0.05,128,0,57.2000,57.4819,57.2000,57.1003,1397.23
0.001,0.0001,0.05,128,10,57.2300,57.7191,57.2300,57.2048,1288.45
0.001,0.0001,0.05,128,20,56.6300,57.0318,56.6300,56.5645,1248.79
0.001,0.0001,0.05,256,0,57.4900,58.1855,57.4900,57.4012,1233.00
0.001,0.0001,0.05,256,10,56.7600,57.1667,56.7600,56.6238,1402.40
0.001,0.0001,0.05,256,20,56.8700,57.2527,56.8700,56.8092,1411.70
0.0015,0.0001,0.01,128,0,57.5600,58.1282,57.5600,57.5670,1380.50
0.0015,0.0001,0.01,128,10,57.1800,57.4642,57.1800,57.0961,1434.04
0.0015,0.0001,0.01,128,20,57.5300,58.0395,57.5300,57.4621,1462.10
0.0015,0.0001,0.01,256,0,57.2000,57.4591,57.2000,57.0659,1381.75
0.0015,0.0001,0.01,256,10,56.9800,57.5675,56.9800,57.0457,1437.07
0.001,0.0001,0.1,128,30,57.4100,57.7513,57.4100,57.2796,1396.45
0.001,0.0001,0.1,128,45,56.8200,56.9173,56.8200,56.6277,1310.66
0.001,0.0001,0.1,128,60,56.3300,56.9976,56.3300,56.3113,1323.45
0.001,0.0001,0.1,256,30,56.7900,57.3531,56.7900,56.7731,1341.63
0.001,0.0001,0.1,256,45,56.7500,57.3170,56.7500,56.6999,1341.21
0.001,0.0001,0.1,256,60,56.9900,57.4406,56.9900,56.9153,1343.53
0.001,0.0001,0.1,512,30,57.4000,57.6964,57.4000,57.2931,1291.08
0.001,0.0001,0.1,512,45,57.3900,58.0218,57.3900,57.4128,1292.76
0.001,0.0001,0.1,512,60,56.2000,57.1687,56.2000,56.3347,1339.63
0.001,0.0001,0.1,1024,30,57.2600,57.6161,57.2600,57.1759,1295.51
0.001,0.0001,0.1,1024,45,56.7800,57.4498,56.7800,56.8188,1350.25
0.001,0.0001,0.1,1024,60,56.1700,56.7487,56.1700,56.1407,1362.33
0.001,0.0001,0.2,128,30,56.8100,57.5408,56.8100,56.9266,1324.87
0.001,0.0001,0.2,128,45,56.3100,56.5451,56.3100,56.0902,1329.28
0.001,0.0001,0.2,128,60,55.1600,55.9048,55.1600,55.1878,1408.06
0.001,0.0001,0.2,256,30,56.2800,57.2187,56.2800,56.4026,1384.23
0.001,0.0001,0.2,256,45,56.3100,56.9149,56.3100,56.3200,1393.95
0.001,0.0001,0.2,256,60,54.2800,55.7592,54.2800,54.6246,1222.25
0.001,0.0001,0.2,512,30,58.0600,58.5285,58.0600,58.0170,1243.94
0.001,0.0001,0.2,512,45,55.0400,56.2043,55.0400,55.2139,1259.42
0.001,0.0001,0.2,512,60,57.3800,57.5471,57.3800,57.2393,1235.56
0.001,0.0001,0.2,1024,30,56.9200,57.4472,56.9200,56.8836,1232.72
0.001,0.0001,0.2,1024,45,57.4400,57.8233,57.4400,57.3685,1248.16
0.001,0.0001,0.2,1024,60,56.8000,57.3630,56.8000,56.8020,1243.89
0.001,0.0001,0.4,128,30,56.2200,56.6207,56.2200,56.0988,1219.92
0.001,0.0001,0.4,128,45,56.2400,56.7074,56.2400,56.2152,1230.50
0.001,0.0001,0.4,128,60,55.5100,56.2637,55.5100,55.5396,1238.17
0.001,0.0001,0.4,256,30,56.9400,57.5320,56.9400,56.9939,1233.48
0.001,0.0001,0.4,256,45,55.7200,56.4971,55.7200,55.7285,1272.94
0.001,0.0001,0.4,256,60,56.3100,56.8021,56.3100,56.2799,1223.23
0.001,0.0001,0.4,512,30,56.6500,57.2847,56.6500,56.6038,1235.07
0.001,0.0001,0.4,512,45,56.8000,57.2508,56.8000,56.7426,1234.44
0.001,0.0001,0.4,512,60,55.6600,55.8709,55.6600,55.4515,1230.29
0.001,0.0001,0.4,1024,30,56.7600,57.3680,56.7600,56.7461,1232.00
0.001,0.0001,0.4,1024,45,56.9000,57.2883,56.9000,56.8052,1232.96
0.001,0.0001,0.4,1024,60,56.2400,56.5593,56.2400,56.1071,1256.75
0.001,0.0001,0.8,128,30,56.7000,57.2559,56.7000,56.6778,1248.23
0.001,0.0001,0.8,128,45,55.7400,56.4225,55.7400,55.7391,1238.20
0.001,0.0001,0.8,128,60,56.7100,57.2651,56.7100,56.6826,1273.35
0.001,0.0001,0.8,256,30,55.4000,56.2733,55.4000,55.5488,1256.67
0.001,0.0001,0.8,256,45,53.6700,54.1208,53.6700,53.6661,1289.35
0.001,0.0001,0.8,256,60,56.7900,57.1777,56.7900,56.6904,1281.08
0.001,0.0001,0.8,512,30,57.0200,57.4553,57.0200,56.9040,1267.22
0.001,0.0001,0.8,512,45,56.0600,56.6142,56.0600,55.9998,1232.08
0.001,0.0001,0.8,512,60,55.8600,56.6729,55.8600,55.9418,1271.83
0.001,0.0001,0.8,1024,30,56.0500,56.9978,56.0500,56.2038,1267.65
0.001,0.0001,0.8,1024,45,57.0300,57.5366,57.0300,56.9975,1294.44
0.001,0.0001,0.8,1024,60,56.6000,57.0586,56.6000,56.5387,1249.88
0.0015,0.0001,0.01,128,0,57.6100,58.2886,57.6100,57.6993,1419.22
0.0015,0.0001,0.01,256,0,57.4200,58.0122,57.4200,57.4450,1562.24
0.0015,0.00015,0.01,128,0,57.6900,58.2639,57.6900,57.7119,1439.47
0.0015,0.00015,0.01,256,0,57.4600,57.8566,57.4600,57.4502,1352.22
0.0015,0.0002,0.01,128,0,57.7000,58.1010,57.7000,57.6321,1405.87
0.0015,0.0002,0.01,256,0,57.5400,57.8212,57.5400,57.3913,1367.39
0.002,0.0001,0.01,128,0,58.0100,58.5433,58.0100,58.0195,1291.49
0.002,0.0001,0.01,256,0,57.2200,57.6611,57.2200,57.2209,1254.99
0.002,0.00015,0.01,128,0,58.3500,58.4170,58.3500,58.1702,1333.19
0.002,0.00015,0.01,256,0,57.7700,58.4631,57.7700,57.7998,1228.06
0.002,0.0002,0.01,128,0,57.9300,58.1142,57.9300,57.7932,1414.13
0.002,0.0002,0.01,256,0,57.5300,58.0723,57.5300,57.5400,1340.60
0.002,0.00015,0.02,32,10,57.5700,57.8507,57.5700,57.4913,1293.93
0.002,0.00015,0.02,32,20,57.1900,57.6804,57.1900,57.1841,1259.41
0.002,0.00015,0.02,32,30,57.3700,57.7257,57.3700,57.2677,1281.26
0.002,0.00015,0.02,64,10,55.4200,56.7471,55.4200,55.7100,1319.51
0.002,0.00015,0.02,64,20,57.5300,57.8880,57.5300,57.4331,1309.36
0.002,0.00015,0.02,64,30,56.7800,57.0688,56.7800,56.6883,1317.62
0.002,0.00015,0.02,80,10,57.6500,58.0779,57.6500,57.5786,1287.34
0.002,0.00015,0.02,80,20,57.0600,57.3758,57.0600,57.0020,1276.03
0.002,0.00015,0.02,80,30,56.7000,57.0759,56.7000,56.5982,1331.73
0.002,0.00015,0.02,100,10,57.9700,58.5010,57.9700,58.0227,1352.16
0.002,0.00015,0.02,100,20,57.7800,58.1407,57.7800,57.7143,1373.60
0.002,0.00015,0.02,100,30,55.9700,56.6049,55.9700,56.0015,1395.32
0.002,0.00015,0.02,32,0,57.1800,57.7019,57.1800,57.1890,1322.31
0.002,0.00015,0.02,64,0,57.1000,57.5850,57.1000,57.1018,1313.51
0.002,0.00015,0.02,80,0,57.3800,57.5934,57.3800,57.2313,1403.03
0.002,0.00015,0.02,100,0,57.5600,57.9953,57.5600,57.5245,1300.87
0.002,0.00015,0.02,144,0,58.1000,58.4034,58.1000,57.9998,1310.77
0.002,0.00015,0.02,160,0,57.7000,58.1566,57.7000,57.7085,1325.70
0.002,0.00015,0.02,200,0,57.6800,58.0450,57.6800,57.6181,1273.42
0.002,0.00015,0.02,240,0,57.5700,58.0346,57.5700,57.5340,1229.06
